comparison,baseline_algorithm_label,target_algorithm_label,group_kind,group_name,topology,topology_mode,attack_strategy,byzantine_fraction,byzantine_placement,target_arm,inflated_mean,metric,n_pairs,mean_difference,std_difference,sem_difference,ci95_low,ci95_high,min_difference,max_difference,ci_method,bootstrap_iterations,bootstrap_seed
vs_independent,independent,median,primary,clean_static_all_topologies,small_world,static,no_attack,0.0,none,,1.0,best_arm_identification_rate_difference,100,-0.2368,0.13317323721796023,0.013317323721796023,-0.2631999999999998,-0.21279999999999982,-0.64,0.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,median,primary,clean_static_all_topologies,small_world,static,no_attack,0.0,none,,1.0,messages_sent_difference,100,200000.0,0.0,0.0,200000.0,200000.0,200000.0,200000.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,median,primary,clean_static_all_topologies,small_world,static,no_attack,0.0,none,,1.0,scalar_values_sent_difference,100,2000000.0,0.0,0.0,2000000.0,2000000.0,2000000.0,2000000.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,median,primary,coordinated_static_random_and_degree,ring,static,coordinated_target,0.2,degree_centrality,3,1.0,mean_per_agent_regret_difference,100,279.20997499999424,106.63466635017272,10.663466635017272,259.0948974999946,300.81116687499417,14.312499999996831,652.8349999999849,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,median,primary,coordinated_static_random_and_degree,ring,static,coordinated_target,0.2,degree_centrality,3,1.0,total_population_regret_difference,100,5584.199499999885,2132.6933270034547,213.26933270034547,5176.282562499894,5997.619162499881,286.24999999993634,13056.6999999997,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,median,primary,coordinated_static_random_and_degree,ring,static,coordinated_target,0.2,degree_centrality,3,1.0,best_arm_identification_rate_difference,100,-0.4115,0.14717113655314154,0.014717113655314154,-0.44049999999999995,-0.38500000000000006,-0.8,-0.09999999999999998,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,median,primary,coordinated_static_random_and_degree,ring,static,coordinated_target,0.2,degree_centrality,3,1.0,messages_sent_difference,100,100000.0,0.0,0.0,100000.0,100000.0,100000.0,100000.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,median,primary,coordinated_static_random_and_degree,ring,static,coordinated_target,0.2,degree_centrality,3,1.0,scalar_values_sent_difference,100,1000000.0,0.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,median,primary,coordinated_static_random_and_degree,ring,static,coordinated_target,0.2,random,3,1.0,mean_per_agent_regret_difference,100,300.63912499999367,98.46717710276567,9.846717710276568,281.6182849999941,319.1410593749931,64.23250000000003,515.0074999999896,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,median,primary,coordinated_static_random_and_degree,ring,static,coordinated_target,0.2,random,3,1.0,total_population_regret_difference,100,6012.782499999874,1969.3435420553135,196.93435420553135,5626.508099999881,6391.106599999869,1284.6500000000005,10300.14999999979,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,median,primary,coordinated_static_random_and_degree,ring,static,coordinated_target,0.2,random,3,1.0,best_arm_identification_rate_difference,100,-0.45,0.13926212476455826,0.013926212476455826,-0.47700000000000004,-0.4225000000000001,-0.75,-0.15000000000000002,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,median,primary,coordinated_static_random_and_degree,ring,static,coordinated_target,0.2,random,3,1.0,messages_sent_difference,100,100000.0,0.0,0.0,100000.0,100000.0,100000.0,100000.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,median,primary,coordinated_static_random_and_degree,ring,static,coordinated_target,0.2,random,3,1.0,scalar_values_sent_difference,100,1000000.0,0.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,median,primary,coordinated_static_random_and_degree,scale_free,static,coordinated_target,0.2,degree_centrality,3,1.0,mean_per_agent_regret_difference,100,381.785849999993,115.65666636875106,11.565666636875106,359.3891506249929,405.47899374999247,136.9024999999972,757.9949999999944,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,median,primary,coordinated_static_random_and_degree,scale_free,static,coordinated_target,0.2,degree_centrality,3,1.0,total_population_regret_difference,100,7635.71699999986,2313.133327375021,231.3133327375021,7184.231437499864,8070.4563749998615,2738.049999999944,15159.899999999889,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,median,primary,coordinated_static_random_and_degree,scale_free,static,coordinated_target,0.2,degree_centrality,3,1.0,best_arm_identification_rate_difference,100,-0.45399999999999996,0.171252073643716,0.0171252073643716,-0.4870000000000001,-0.41950000000000015,-0.8,-0.09999999999999998,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,median,primary,coordinated_static_random_and_degree,scale_free,static,coordinated_target,0.2,degree_centrality,3,1.0,messages_sent_difference,100,184000.0,0.0,0.0,184000.0,184000.0,184000.0,184000.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,median,primary,coordinated_static_random_and_degree,scale_free,static,coordinated_target,0.2,degree_centrality,3,1.0,scalar_values_sent_difference,100,1840000.0,0.0,0.0,1840000.0,1840000.0,1840000.0,1840000.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,median,primary,coordinated_static_random_and_degree,scale_free,static,coordinated_target,0.2,random,3,1.0,mean_per_agent_regret_difference,100,330.4804749999939,95.22463630704915,9.522463630704916,312.08913562499396,349.0383468749943,130.14499999999603,558.0074999999922,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,median,primary,coordinated_static_random_and_degree,scale_free,static,coordinated_target,0.2,random,3,1.0,total_population_regret_difference,100,6609.609499999879,1904.492726140983,190.4492726140983,6243.652162499877,7001.855499999864,2602.8999999999205,11160.149999999843,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,median,primary,coordinated_static_random_and_degree,scale_free,static,coordinated_target,0.2,random,3,1.0,best_arm_identification_rate_difference,100,-0.36950000000000005,0.166043532079556,0.0166043532079556,-0.40150000000000013,-0.3379875,-0.8,0.0,paired_percentile_bootstrap,2000,20260827
vs_independent,independent,median,primary,coordinated_static_random_and_degree,scale_free,static,coordinated_target,0.2,random,3,1.0,messages_sent_difference,100,184000.0,0.0,0.0,184000.0,184000.0,184000.0,184000.0,paired_percentile_bootstrap,2000,20260827
